Titulo,Link,precio_normal,precio_online,precio_tarjeta_oh,disponible,marca,link_imagen,tarjeta,sku,teclado_iluminado,lector_de_huella,camara_web,conectividad,bluetooh,disco_duro,cantidad_entrada_hdmi,cantidad_entrada_usb,garantia,ram,modelo,procesador,velocidad_del_procesador,resolucion_pantalla,sistema_operativo,tamaño_de_pantalla,tarjeta_de_video,tipo_de_pantalla,pantalla_touch,bateria,duracion_bateria,tipo_producto,parlantes,largo_cm,ancho_cm,espesor_cm,peso_kg,disponibilidad
"Laptop Dell Inspiron 15 3515 Ryzen 5 3450U, 8GB, SSD 256GB, HD 15.6"", W11H, 1Y",https://www.oechsle.pe/laptop-dell-inspiron-15-3515-ryzen-5-3450u-8gb-ssd-256gb-hd-15-6--w11h-1y-1000261353/p,"S/. 2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP 15 DW1085LA Core i3 4GB DDR4  256GB SSD  Windows 10 Home 310H7LA,https://www.oechsle.pe/laptop-hp-15-dw1085la-core-i3-4gb-ddr4--256gb-ssd--windows-10-home-310h7la-1000255843/p,"S/. 2,799.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Chuwi  Herobook Pro 14.1 + Impresora PIXMA G3110,https://www.oechsle.pe/laptop-chuwi--herobook-pro-14-1---impresora-pixma-g3110-1000255722/p,S/. 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haier Laptop A140A Celeron N4020, 4GB DDR4,128GB SSD, 14.1""HD, Windows 10",https://www.oechsle.pe/haier-laptop-a140a-celeron-n4020-4gb-ddr4128gb-ssd-14-1-hd-windows-10-1000253294/p,"S/. 1,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Vostro 14 3405 Gris, 14"" HD LED AMD Ryzen 5 3450U 2.1GH, 8GB, 256GB SSD, Win10 Model: YG",https://www.oechsle.pe/laptop-dell-vostro-14-3405-gris-14--hd-led-amd-ryzen-5-3450u-2-1gh-8gb-256gb-ssd-win10-model--yg-1000253291/p,"S/. 3,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haier Laptop H15C3 Plateada, I3-10110U, 4GB DDR4, 256GB SSD, 15.6"" FHD, Win10",https://www.oechsle.pe/haier-laptop-h15c3-plateada-i3-10110u-4gb-ddr4-256gb-ssd-15-6--fhd-win10-1000253290/p,"S/. 2,599.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G8 Intel Core i5-1035G1  8GB RAM 1TB HDD + 500GB SSD 15.6"" HD FreeDos",https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i5-1035g1--8gb-ram-1tb-hdd---500gb-ssd-15-6--hd-freedos-1000249899/p,"S/. 3,199.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G8 Intel Core i5-1035G1  16GB RAM 1TB HDD + 500GB SSD 15.6"" HD FreeDos",https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i5-1035g1--16gb-ram-1tb-hdd---500gb-ssd-15-6--hd-freedos-1000249898/p,"S/. 3,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G8 Intel Core i5-1035G1  8GB RAM 1TB HDD + 250GB SSD 15.6"" HD FreeDos",https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i5-1035g1--8gb-ram-1tb-hdd---250gb-ssd-15-6--hd-freedos-1000249897/p,"S/. 3,299.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G8 Intel Core i5-1035G1  16GB RAM 1TB HDD + 250GB SSD 15.6"" HD FreeDos",https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i5-1035g1--16gb-ram-1tb-hdd---250gb-ssd-15-6--hd-freedos-1000249896/p,"S/. 3,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G8 Intel Core i5-1035G1 1TB HDD 16GB RAM 15.6"" HD FreeDos",https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i5-1035g1-1tb-hdd-16gb-ram-15-6--hd-freedos-1000249895/p,"S/. 2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 250 G8 Intel Core i5-1035G1 1TB HDD 8GB RAM 15.6"" HD FreeDos",https://www.oechsle.pe/laptop-hp-250-g8-intel-core-i5-1035g1-1tb-hdd-8gb-ram-15-6--hd-freedos-1000249894/p,S/. 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochila para laptop con puerto USB - Azul - Mochila para  Laptop con Puerto USB - Azul,https://www.oechsle.pe/mochila-para-laptop-con-puerto-usb---azul-1000248521/p,S/. 80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochila para laptop con puerto USB - Plomo - Mochila para Laptop con Puerto USB - Plomo,https://www.oechsle.pe/mochila-para-laptop-con-puerto-usb---plomo-1000248520/p,S/. 80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochila para laptop con puerto USB - Rojo - Mochila para Laptop con Puerto USB - Rojo,https://www.oechsle.pe/mochila-para-laptop-con-puerto-usb---rojo-1000248519/p,S/. 80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 15-DW3033DX 15.6"" Laptop Intel Core i3 8GB 256GB SSD Natural Silver",https://www.oechsle.pe/laptop-hp-15-dw3033dx-15-6--laptop-intel-core-i3-8gb-256gb-ssd-natural-silver-1000244330/p,"S/. 3,684.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Refaccionado Asus VivoBook TP412FA i3-8145U 4GB 128GB SSD 14""Touchscreen",https://www.oechsle.pe/laptop-refaccionado-asus-vivobook-tp412fa-i3-8145u-4gb-128gb-ssd-14-touchscreen-1000244326/p,"S/. 3,684.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ACER AN515-55-595Q 15.6'' Intel Core i5 10ma generación 8GB 512GB SSD,https://www.oechsle.pe/laptop-acer-an515-55-595q-15-6---intel-core-i5-10ma-generacion-8gb-512gb-ssd-1000243239/p,"S/. 3,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ACER A515-54-585N 15.6'' Intel Core i5 10ma generación 8GB 256GB SSD,https://www.oechsle.pe/laptop-acer-a515-54-585n-15-6---intel-core-i5-10ma-generacion-8gb-256gb-ssd-1000243238/p,"S/. 2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Yoga Gen 2 13.3""Multi-touch 2-en-1 Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-yoga-gen-2-13-3-multi-touch-2-en-1-negro-1000242921/p,"S/. 13,579.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X1 Titanium Yoga Gen 1 13.5"" Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-lenovo-thinkpad-x1-titanium-yoga-gen-1-13-5--multi-touch-2-en-1-1000242917/p,"S/. 12,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ProBook 450 G8 15.6"" Multi-Touch (Edición HP Pro Security con servicio de seguridad de ... - Laptop HP ProBook 450 G8 15.6"" Multi-Touch (Edición HP Pro Security con servicio de seguridad de 1 año)",https://www.oechsle.pe/laptop-hp-probook-450-g8-15-6--multi-touch--edicion-hp-pro-security-con-servicio-de-seguridad-de-----1000242907/p,"S/. 7,359.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Zbook Firefly 15 G8 I7-1165 16GB 512GB IX + T500 Windows 11 Pro DG W10 15.6""",https://www.oechsle.pe/laptop-hp-zbook-firefly-15-g8-i7-1165-16gb-512gb-ix---t500-windows-11-pro-dg-w10-15-6---1000242904/p,"S/. 15,329.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad E14 Gen 2 14""",https://www.oechsle.pe/laptop-lenovo-thinkpad-e14-gen-2-14--1000242903/p,"S/. 7,729.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Gen 2 13.3"" Villi Black (Negro)",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-gen-2-13-3--villi-black--negro--1000242901/p,"S/. 13,769.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 5520 15.6""",https://www.oechsle.pe/laptop-dell-latitude-5520-15-6--1000242900/p,"S/. 11,379.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook X360 1040 G8 14"" Multi-Touch 2-en-1 (solo Wi-Fi)",https://www.oechsle.pe/laptop-hp-elitebook-x360-1040-g8-14--multi-touch-2-en-1--solo-wi-fi--1000242894/p,"S/. 15,389.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Panasonic CF20 Toughbook 10.1""Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-panasonic-cf20-toughbook-10-1-multi-touch-2-en-1-1000242886/p,"S/. 21,659.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ZBook Firefly 15 G8 I5-1145 16GB 256GB + 32GB IX + T500 Windows 11 Pro DG W10 15.6""",https://www.oechsle.pe/laptop-hp-zbook-firefly-15-g8-i5-1145-16gb-256gb---32gb-ix---t500-windows-11-pro-dg-w10-15-6---1000242884/p,"S/. 13,339.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Zbook Firefly 15 G8 I7-1185 16GB 512GB + 32GB IX + T500 Windows 11 Pro DG W10 15.6""",https://www.oechsle.pe/laptop-hp-zbook-firefly-15-g8-i7-1185-16gb-512gb---32gb-ix---t500-windows-11-pro-dg-w10-15-6---1000242882/p,"S/. 18,139.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X1 Titanium Yoga Gen 1 13.5"" Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-lenovo-thinkpad-x1-titanium-yoga-gen-1-13-5--multi-touch-2-en-1-1000242875/p,"S/. 14,959.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 5320 13.3"" 2-en-1 Multi-Touch",https://www.oechsle.pe/laptop-dell-latitude-5320-13-3--2-en-1-multi-touch-1000242873/p,"S/. 11,009.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad Carbon X1 Gen 9 14"" Multi-touch",https://www.oechsle.pe/laptop-lenovo-thinkpad-carbon-x1-gen-9-14--multi-touch-1000242872/p,"S/. 14,909.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ENVY x360 15,6"" Multi-Touch 2 en 1 de Natural Silver (Plateado)",https://www.oechsle.pe/laptop-hp-envy-x360-156--multi-touch-2-en-1-de-natural-silver--plateado--1000242870/p,"S/. 7,579.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Yoga Gen 2 13.3"" Multi-touch 2-en-1 Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-yoga-gen-2-13-3--multi-touch-2-en-1-negro-1000242865/p,"S/. 13,439.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad Carbon X1 Gen 9  14""Multi-touch",https://www.oechsle.pe/laptop-lenovo-thinkpad-carbon-x1-gen-9--14-multi-touch-1000242862/p,"S/. 13,509.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook X360 830 G8 13.3"" Multi-Touch 2-en-1 (solo Wi-Fi)",https://www.oechsle.pe/laptop-hp-elitebook-x360-830-g8-13-3--multi-touch-2-en-1--solo-wi-fi--1000242861/p,"S/. 10,959.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook 840 G8 14""",https://www.oechsle.pe/laptop-hp-elitebook-840-g8-14--1000242850/p,"S/. 15,249.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad E14 Gen 2 14""",https://www.oechsle.pe/laptop-lenovo-thinkpad-e14-gen-2-14--1000242846/p,"S/. 6,669.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 5420 14""",https://www.oechsle.pe/laptop-dell-latitude-5420-14--1000242845/p,"S/. 12,909.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Yoga Gen 2  13.3"" Multi-touch 2-en-1 Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-yoga-gen-2--13-3--multi-touch-2-en-1-negro-1000242843/p,"S/. 11,919.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 3420 14""",https://www.oechsle.pe/laptop-dell-latitude-3420-14--1000242834/p,"S/. 6,809.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Gen 2 13.3"" Storm Gray (Gris)",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-gen-2-13-3--storm-gray--gris--1000242832/p,"S/. 11,289.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Asus VivoBook Flip 14 J401MA 14"" Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-asus-vivobook-flip-14-j401ma-14--multi-touch-2-en-1-1000242830/p,"S/. 3,159.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Asus VivoBook K3500PH-DB51 15.6""",https://www.oechsle.pe/laptop-asus-vivobook-k3500ph-db51-15-6--1000242827/p,"S/. 6,669.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Zbook Firefly 15 G8 I7-1185 32GB 512GB + 32GB IX Windows 11 Pro DG W10 15.6""",https://www.oechsle.pe/laptop-hp-zbook-firefly-15-g8-i7-1185-32gb-512gb---32gb-ix-windows-11-pro-dg-w10-15-6---1000242823/p,"S/. 15,669.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad T15P Gen 2 15.6"" con 3 años de Premier Support Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-t15p-gen-2-15-6--con-3-a%c3%b1os-de-premier-support-negro-1000242819/p,"S/. 15,739.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Asus Zenbook Flip 13 OLED 13.3""Multi-touch 2-en-1",https://www.oechsle.pe/laptop-asus-zenbook-flip-13-oled-13-3-multi-touch-2-en-1-1000242816/p,"S/. 7,079.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Elite Folio X2 G8 13.5"" Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-hp-elite-folio-x2-g8-13-5--multi-touch-2-en-1-1000242815/p,"S/. 14,189.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo IdeaPad 3 15.6"" Abyss Blue (Azul)",https://www.oechsle.pe/laptop-lenovo-ideapad-3-15-6--abyss-blue--azul--1000242813/p,"S/. 2,789.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook 840 G8 14""",https://www.oechsle.pe/laptop-hp-elitebook-840-g8-14--1000242812/p,"S/. 11,799.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 7520 15.6"" Carbon Fiber",https://www.oechsle.pe/laptop-dell-latitude-7520-15-6--carbon-fiber-1000242796/p,"S/. 14,409.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Yoga Gen 2 13.3"" Multi-touch 2-en-1 Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-yoga-gen-2-13-3--multi-touch-2-en-1-negro-1000242788/p,"S/. 12,749.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 9520 15""",https://www.oechsle.pe/laptop-dell-latitude-9520-15--1000242785/p,"S/. 13,329.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ProBook 450 G8 de 15,6"" (HP Pro Security Edition con 1 año de servicio Pro Security)",https://www.oechsle.pe/laptop-hp-probook-450-g8-de-156---hp-pro-security-edition-con-1-a%c3%b1o-de-servicio-pro-security--1000242781/p,"S/. 9,259.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Elite Folio X2 G8 13.5"" Multi-Touch 2-en-1 13.5""",https://www.oechsle.pe/laptop-hp-elite-folio-x2-g8-13-5--multi-touch-2-en-1-13-5--1000242772/p,"S/. 13,769.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 7420 14"" Multi-Touch 2-en-1 Carbon Fiber",https://www.oechsle.pe/laptop-dell-latitude-7420-14--multi-touch-2-en-1-carbon-fiber-1000242765/p,"S/. 13,109.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 14""ProBook 440 G8 (HP Pro Security Edition con servicio de seguridad de 1 año)",https://www.oechsle.pe/laptop-hp-14-probook-440-g8--hp-pro-security-edition-con-servicio-de-seguridad-de-1-a%c3%b1o--1000242759/p,"S/. 8,409.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Gen 2 13.3"" Villi Black",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-gen-2-13-3--villi-black-1000242757/p,"S/. 11,909.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 15.6""255 G8",https://www.oechsle.pe/laptop-hp-15-6-255-g8-1000242755/p,"S/. 5,249.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook X360 830 G8 13.3"" Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-hp-elitebook-x360-830-g8-13-3--multi-touch-2-en-1-1000242748/p,"S/. 13,279.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Studio Microsoft Multi-touch Surface 14.4"" Platino",https://www.oechsle.pe/laptop-studio-microsoft-multi-touch-surface-14-4--platino-1000242743/p,"S/. 20,829.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop MSI Summit E16 Flip Series 16""Multi-touch 2-en-1",https://www.oechsle.pe/laptop-msi-summit-e16-flip-series-16-multi-touch-2-en-1-1000242734/p,"S/. 12,349.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Microsoft 15"" Multi-touch Surface Negro Mate",https://www.oechsle.pe/laptop-microsoft-15--multi-touch-surface-negro-mate-1000242732/p,"S/. 10,949.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Zboook Firefly 15 G8 I7-1185 32GB 512GB + 32GB IX + T500 Windows 11 Pro DG W10 15.6""",https://www.oechsle.pe/laptop-hp-zboook-firefly-15-g8-i7-1185-32gb-512gb---32gb-ix---t500-windows-11-pro-dg-w10-15-6---1000242730/p,"S/. 18,279.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Panasonic Toughbook 55 14""Multi-touch",https://www.oechsle.pe/laptop-panasonic-toughbook-55-14-multi-touch-1000242728/p,"S/. 24,549.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop MSI Creator17  17.3""",https://www.oechsle.pe/laptop-msi-creator17--17-3--1000242726/p,"S/. 21,589.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Elite Dragonfly Max 13.3"" Multi-touch 2-1 Wi-Fi + 5G LTE",https://www.oechsle.pe/laptop-hp-elite-dragonfly-max-13-3--multi-touch-2-1-wi-fi---5g-lte-1000242725/p,"S/. 20,039.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Panasonic Toughbook 55 14"" Laptop Multi-touch (Public Sector Bundle)",https://www.oechsle.pe/laptop-panasonic-toughbook-55-14--laptop-multi-touch--public-sector-bundle--1000242717/p,"S/. 27,579.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Chromebook 11 3100 11.6""32GB Multi-touch 2-en-1",https://www.oechsle.pe/laptop-dell-chromebook-11-3100-11-6-32gb-multi-touch-2-en-1-1000242703/p,"S/. 2,889.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Elite Folio X2 G8 13.5""Multi-Touch 2-en-1",https://www.oechsle.pe/laptop-hp-elite-folio-x2-g8-13-5-multi-touch-2-en-1-1000242701/p,"S/. 13,059.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad Carbon X1 Gen 9 14"" Multi-touch",https://www.oechsle.pe/laptop-lenovo-thinkpad-carbon-x1-gen-9-14--multi-touch-1000242697/p,"S/. 14,329.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Asus ZenBook 14 14""Multi-Touch 2 en-1 Flip OLED",https://www.oechsle.pe/laptop-asus-zenbook-14-14-multi-touch-2-en-1-flip-oled-1000242694/p,"S/. 8,149.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP Zbook Firefly 15 G8 I7-1185 16GB 512GB + 32GB IX Windows 11 Pro DG W10 15.6""",https://www.oechsle.pe/laptop-hp-zbook-firefly-15-g8-i7-1185-16gb-512gb---32gb-ix-windows-11-pro-dg-w10-15-6---1000242684/p,"S/. 15,669.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook 840 G7 14"" Multi-touch (solo Wi-Fi)",https://www.oechsle.pe/laptop-hp-elitebook-840-g7-14--multi-touch--solo-wi-fi--1000242683/p,"S/. 15,039.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Asus ProArt StudioBook Series 16""",https://www.oechsle.pe/laptop-asus-proart-studiobook-series-16--1000242682/p,"S/. 14,549.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 7420 14""Carbon Fiber",https://www.oechsle.pe/laptop-dell-latitude-7420-14-carbon-fiber-1000242681/p,"S/. 13,599.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Studio Microsoft 14.4""Multi-touch Surface Platino",https://www.oechsle.pe/laptop-studio-microsoft-14-4-multi-touch-surface-platino-1000242675/p,"S/. 13,769.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Microsoft Multi-Touch Surface 15"" Platino",https://www.oechsle.pe/laptop-microsoft-multi-touch-surface-15--platino-1000242672/p,"S/. 10,949.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad E15 Gen 2 15.6""",https://www.oechsle.pe/laptop-lenovo-thinkpad-e15-gen-2-15-6---1000242670/p,"S/. 8,069.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 7520 15.6"" Carbon Fiber",https://www.oechsle.pe/laptop-dell-latitude-7520-15-6--carbon-fiber-1000242669/p,"S/. 11,099.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook X360 830 G8 13.3""Laptop Multi-Touch 2-en-1 (solo Wi-Fi)",https://www.oechsle.pe/laptop-hp-elitebook-x360-830-g8-13-3-laptop-multi-touch-2-en-1--solo-wi-fi--1000242668/p,"S/. 13,279.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo 11e ThinkPad Yoga Gen 6 11.6""Multi-touch 2-en-1",https://www.oechsle.pe/laptop-lenovo-11e-thinkpad-yoga-gen-6-11-6-multi-touch-2-en-1-1000242667/p,"S/. 5,149.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad Carbon X1 Nano Gen 1 13.3"" Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-carbon-x1-nano-gen-1-13-3--negro-1000242665/p,"S/. 11,299.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP EliteBook 845 G8 14""",https://www.oechsle.pe/laptop-hp-elitebook-845-g8-14--1000242664/p,"S/. 12,429.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP 14""ProBook 640 G8 (solo Wi-Fi)",https://www.oechsle.pe/laptop-hp-14-probook-640-g8--solo-wi-fi--1000242663/p,"S/. 12,429.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Yoga Gen 2  13.3""Multi-touch 2-en-1 Negro",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-yoga-gen-2--13-3-multi-touch-2-en-1-negro-1000242662/p,"S/. 11,849.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad X13 Gen 2 13.3"" Storm Gray (Gris)",https://www.oechsle.pe/laptop-lenovo-thinkpad-x13-gen-2-13-3--storm-gray--gris--1000242660/p,"S/. 9,879.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 7420 14"" Carbon Fiber",https://www.oechsle.pe/laptop-dell-latitude-7420-14--carbon-fiber-1000242654/p,"S/. 11,239.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ProBook 450 G8 15.6""",https://www.oechsle.pe/laptop-hp-probook-450-g8-15-6--1000242652/p,"S/. 8,059.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ProBook 650 G8 15.6""",https://www.oechsle.pe/laptop-hp-probook-650-g8-15-6--1000242643/p,"S/. 12,089.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP ProBook 440 G8 Multi-Touch  14"" (Edición de Seguridad HP Pro con servicio de seguridad ... - Laptop HP ProBook 440 G8 Multi-Touch  14"" (Edición de Seguridad HP Pro con servicio de seguridad de 1 año)",https://www.oechsle.pe/laptop-hp-probook-440-g8-multi-touch%c2%a0-14---edicion-de-seguridad-hp-pro-con-servicio-de-seguridad-----1000242639/p,"S/. 7,779.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo 300e 11.6""Multi-Touch 2-en-1 (2da Gen)",https://www.oechsle.pe/laptop-lenovo-300e-11-6-multi-touch-2-en-1--2da-gen--1000242635/p,"S/. 2,559.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Lenovo ThinkPad E15 Gen 3 15.6""",https://www.oechsle.pe/laptop-lenovo-thinkpad-e15-gen-3-15-6--1000242630/p,"S/. 5,919.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
