Titulo,Link,precio_normal,precio_online,precio_tarjeta_oh,disponible,marca,link_imagen,tarjeta,sku,teclado_iluminado,lector_de_huella,camara_web,conectividad,bluetooh,disco_duro,cantidad_entrada_hdmi,cantidad_entrada_usb,garantia,ram,modelo,procesador,velocidad_del_procesador,resolucion_pantalla,sistema_operativo,tamaño_de_pantalla,tarjeta_de_video,tipo_de_pantalla,pantalla_touch,bateria,duracion_bateria,tipo_producto,parlantes,largo_cm,ancho_cm,espesor_cm,peso_kg,disponibilidad
"HP Laptop 15-dy2056la 15.6"" Intel Core i5-1135G7 8GB RAM 512GB+32GB SSD+Optane",https://www.oechsle.pe/hp-laptop-15-dy2056la-15-6-intel-core-i5-1135g7-8gb-ram-512gb-32gb-ssd-optane-1871906/p,"S/. 3,549.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop HP VICTUS 16-d0523la 16.1"" Intel Core i7-11600H 8GB 512GB SSD",https://www.oechsle.pe/laptop-hp-victus-16-d0523la-16-1-intel-core-i7-11600h-8gb-512gb-ssd-2026540/p,S/. 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop IdeaPad 3  14"" FHD AMD Ryzen 3  8GB RAM  256GB SSD",https://www.oechsle.pe/laptop-ideapad-3-14-fhd-amd-ryzen-3-8gb-ram-256gb-ssd-1877176/p,"S/. 2,848.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Zenbook 14 UX435EG 14'' Ci7-1165G7 16GB RAM 512SSD 2GB Video,https://www.oechsle.pe/laptop-asus-zenbook-14-ux435eg-14-ci7-1165g7-16gb-ram-512ssd-2gb-video-2005678/p,"S/. 6,099.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Acer 15.6"" Core i5 10210U 8GB RAM 256GB SSD",https://www.oechsle.pe/laptop-acer-15-6-core-i5-10210u-8gb-ram-256gb-ssd-2017263/p,"S/. 3,139.00","S/. 2,199.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ACER,,No,2017263,No,No,Si,Wi-fi,Sí,256GB SSD,1,4,1 año,8GB DDR4,A515-54-585N,Intel Core i5 10210U,1.6 GHz,1366 x 768,Windows 11,"15.6""",,HD,No,Ion litio,Hasta 7 horas,Notebook,Incorporados,23.85 cm,36.3 cm,1.79 cm,1.9 kg,· Puedes comprar un máximo de 10 unidades.
Laptop ASUS X415 X415JA 14'' Ci7-1065G7 512SSD 12GB RAM,https://www.oechsle.pe/laptop-asus-15-x415ja-14---ci7-1065g7-512ssd-12gb/p,"S/. 4,899.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Zenbook 13 OLED UX325EA 13.3'' Ci5-1135G7 8GB RAM 512SSD,https://www.oechsle.pe/laptop-asus-zenbook-13-oled-ux325ea-13-3---ci5-1135g7-8gb-ram-512ssd/p,"S/. 4,599.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Acer 15.6"" Aspire 3 Intel Core i5 1135G7 8GB RAM 512GB SSD",https://www.oechsle.pe/laptop-acer-15-6-aspire-3-intel-core-i5-1135g7-8gb-ram-512gb-ssd-2076606/p,"S/. 3,199.00","S/. 2,549.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ACER,,No,2076606,No,No,Si,"Wi-fi, LAN",Sí,512GB SSD,1,3,1 año,8Gb,A315-58-5170,Intel Core i5-1135G7,2.40 GHz,1920 x 1080,Windows 11,"15.6""",,LED IPS,No,Ion litio,Hasta 8 horas,Laptop,Incorporados,23.8 cm,36.34 cm,1.99 cm,1.7 kg.,· Puedes comprar un máximo de 10 unidades.
"Laptop IdeaPad Flex 3 ChromeBook 11.6"" HD Intel Celeron N4020  8GB RAM + 128GB eMMC",https://www.oechsle.pe/laptop-ideapad-flex-3-chromebook-11-6-hd-intel-celeron-n4020-8gb-ram-128gb-emmc-1953565/p,"S/. 2,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop ASUS 15.6"" FX506LH-HN004W Core i5 8GB DDR4 RAM 512GB SSD Black",https://www.oechsle.pe/laptop-asus-15-6-fx506lh-hn004w-core-i5-8gb-ddr4-ram-512gb-ssd-black-2091553/p,"S/. 4,799.00","S/. 3,599.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2091553,Sí,No,sí,Wi-Fi 6(802.11ax),Sí,512 GB SSD,1,4,12 meses,8Gb,FX506LH-HN004W,Core i5,2.5 GHz,FHD (1920 x 1080) 16:9,Windows 11,"15.6""",,FHD,No,"48WHrs, 3S1P, 3-cell Li-ion","48WHrs, 3S1P, 3-cell Li-ion",Laptop,Incorporados,25.6,35.9,2.47,2.30 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop ASUS 14"" X415JA-EB1361W Core i5 8GB DDR4 RAM 256GB SSD Silver",https://www.oechsle.pe/laptop-asus-14-x415ja-eb1361w-core-i5-8gb-ddr4-ram-256gb-ssd-silver-2091494/p,"S/. 3,499.00","S/. 2,299.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2091494,No,Sí,sí,Wi-Fi 5(802.11ac) (Dual band) 1*1,Sí,256 GB SSD,1,4,12 meses,8Gb,X415JA-EB1361W,Core i5,1.0 GHz,FHD (1920 x 1080) 16:9,Windows 11,"14""",,FHD,No,"37WHrs, 2S1P, 2-cell Li-ion","37WHrs, 2S1P, 2-cell Li-ion",Laptop,Incorporados,21.6,32.54,1.99,1.6 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop ASUS 13.3"" UM325UA-KG150W Ryzen 7 16GB RAM 512GB SSD Grey",https://www.oechsle.pe/laptop-asus-13-3-um325ua-kg150w-ryzen-7-16gb-ram-512gb-ssd-grey-2091554/p,"S/. 5,499.00","S/. 3,699.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,Sí,2091554,Sí,No,sí,Wi-Fi 5(802.11ac),Sí,512 GB SSD,1,3,12 meses,16Gb,UM325UA-KG150W,Ryzen 7,4.3 GHz,FHD (1920 x 1080) OLED 16:9,Windows 11,"13.3""",,OLED,No,"67WHrs, 4S1P, 4-cell Li-ion","67WHrs, 4S1P, 4-cell Li-ion",Laptop,Incorporados,20.3,30.4,1.39,1.14 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop ASUS 15.6"" FA506QM-HN008W Ryzen 7 8GB DDR4 RAM 512GB SSD Black",https://www.oechsle.pe/laptop-asus-15-6-fa506qm-hn008w-ryzen-7-8gb-ddr4-ram-512gb-ssd-black-2091546/p,"S/. 7,599.00","S/. 6,099.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2091546,Sí,No,sí,Wi-Fi 6(802.11ax),Sí,512 GB SSD,1,4,12 meses,8Gb,FA506QM-HN008W,Ryzen 7,4.4 GHz,FHD (1920 x 1080) 16:9,Windows 11,"15.6""",,FHD,No,"90WHrs, 4S1P, 4-cell Li-ion","90WHrs, 4S1P, 4-cell Li-ion",Laptop,Incorporados,25.6,35.9,2.28,2.3 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop ASUS 15.6"" X515EA-BQ1749W Core i7 12GB DDR4 RAM 512GB SSD Grey",https://www.oechsle.pe/laptop-asus-15-6-x515ea-bq1749w-core-i7-12gb-ddr4-ram-512gb-ssd-grey-2091514/p,"S/. 4,999.00","S/. 3,599.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,2091514,No,Sí,sí,Wi-Fi 5(802.11ac),Sí,512 GB SSD,1,4,12 meses,12Gb,X515EA-BQ1749W,Core i7,2.8 GHz,FHD (1920 x 1080) 16:9,Windows 11,"15.6""",,FHD,No,"37WHrs, 2S1P, 2-cell Li-ion","37WHrs, 2S1P, 2-cell Li-ion",Laptop,Incorporados,23.5,36,1.99,1.8 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop Yoga 9i  14"" FHD Intel Core i7 16GB RAM 512GB SSD",https://www.oechsle.pe/laptop-yoga-9i-14-fhd-intel-core-i7-16gb-ram-512gb-ssd-1877167/p,"S/. 6,798.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Laptop 15-ef2505la 15.6"" AMD Ryzen 7 5700U 8GB DDR4 RAM 512GB SSD Oro pálido",https://www.oechsle.pe/hp-laptop-15-ef2505la-15-6-amd-ryzen-7-5700u-8gb-ddr4-ram-512gb-ssd-oro-palido-2026535/p,"S/. 3,399.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Aspire 3 Intel Core i5 1135G7 8GB RAM 256GB SSD 2GB Video MX350,https://www.oechsle.pe/laptop-acer-aspire-5-intel-core-i5-1135g7-8gb-ram-256gb-ssd-2gb-video-mx350-2059647/p,"S/. 3,799.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop OMEN  FHD 16"" 16-c0503la AMD Ryzen R7-5800H 16GB RAM AMD 8GB R21M-E65-70 512GB SSD",https://www.oechsle.pe/laptop-omen--fhd-16-16-c0503la-amd-ryzen-r7-5800h-16gb-ram-amd-8gb-r21m-e65-70-512gb-ssd-1871921/p,"S/. 7,199.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop OMEN 16"" 16-b0504la Intel Core i7-11800H - TGL 16GB RAM RTX 3060 6GB 512GB+32GB Optane",https://www.oechsle.pe/laptop-omen-16-16-b0504la-intel-core-i7-11800h-tgl-16gb-ram-rtx-3060-6gb-512gb-32gb-optane-1871924/p,"S/. 7,599.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS Zenbook Pro Duo 15 OLED UX582HM 15.6'' Ci9-11900H 32GB RAM 1T SSD RTX3060,https://www.oechsle.pe/laptop-asus-zenbook-pro-duo-15-oled-ux582hm-15-6-ci9-11900h-32gb-ram-1t-ssd-rtx3060-2061392/p,"S/. 14,599.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Gamer Asus ROG Flow X13 13"" GV301QH Ryzen 9 5900HS 16GB RAM 512GB SSD 4GB Video Gris",https://www.oechsle.pe/laptop-gamer-asus-13-gv301qh-k6300t-ryzen-9-5900hs-16gb-ram-512gb-ssd-4gb-video-gris-1832028/p,"S/. 7,099.00","S/. 6,499.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ASUS,,No,1832028,Sí,Sí,Sí,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,Sí,512GB SSD,1,3,1 año,16GB,GV301QH-K6300T,AMD Ryzen™ 9 5900HS,3.1 GHz,1920 x 1200,Windows 10,13.4'',,WUXGA IPS,Sí,"62WHrs, 4-cell Li-ion","62WHrs, 4-cell Li-ion",Gamer,2x 1W speaker with Smart Amp Technology,29.9 cm,22.2 cm,1.58 cm,1.30 Kg,· Puedes comprar un máximo de 10 unidades.
"Laptop gamer Nitro 5 15.6"" Ryzen 5 5600H 8GB RAM 512GB SSD 4GB Video GTX 1650",https://www.oechsle.pe/laptop-gamer-nitro-5-15-6-ryzen-5-5600h-8gb-ram-512gb-ssd-4gb-video-gtx-1650-1981117/p,"S/. 5,159.00","S/. 3,799.00",{{price}},· Puedes comprar un máximo de 10 unidades.,ACER,,No,1981117,Sí,No,Si,Wi-fi 6,Sí,512GB SSD,1,4,1 año,8GB DDR4,AN515-45-R6J3,AMD Ryzen 5 5600H,3.3 GHz,1920 x 1080,Windows 11,"15.6""",,LED IPS,No,Ion litio,Hasta 6 horas,NOTEBOOK GAMING,Incoporados,25.5 cm,36.3 cm,2.39 cm,2.3 kg,· Puedes comprar un máximo de 10 unidades.
"Laptop Gaming Katana GF66 11SC 15.6"" 144hz I5-11400H 8GB RAM 512 4GB 1650 Video",https://www.oechsle.pe/laptop-gaming-katana-gf66-11sc-15-6-144hz-i5-11400h-16gb-ram-512-4gb-1650-video-1957958/p,"S/. 5,199.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop Gaming GF63 Thin 10SC 15.6"" i5-10500H 8GB RAM 512GB SSD 4GB 1650 Video",https://www.oechsle.pe/laptop-gaming-gf63-thin-10sc-15-6-i5-10500h-8gb-ram-512gb-ssd-4gb-1650-video-1957962/p,"S/. 4,699.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
