Titulo,Link,Precio,Estado,Puntuacion,Ubicacion,Marca,Modelo,Capacidad,Condicion,disponibilidad,oferta,Comentarios,modelo_linea,ram,almacenamiento,sistema_operativo
Laptop Lenovo Ideapad 5 14itl05 14'ryzen 5 8gb Ddr4 Tactil ,https://articulo.mercadolibre.com.pe/MPE-608052652-laptop-lenovo-ideapad-5-14itl05-14ryzen-5-8gb-ddr4-tactil-_JM,3889.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,IDEAPAD 5 14ITL05,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,14 "",10 h,Full HD,Sí,Nadie ha hecho preguntas todavía. ,#608052652",,{},IdeaPad,8 GB,1920 px x 1080 px,Intel Iris Xe Graphics
"Laptop Hp 240 G7, 14  Celeron N4100 1.10 Ghz 4gb Ddr4 Env Ya",https://articulo.mercadolibre.com.pe/MPE-446829129-laptop-hp-240-g7-14-celeron-n4100-110-ghz-4gb-ddr4-env-ya-_JM,1770.0,Nuevo,4.4,"Lima, Lima Metropolitana",HP,240 G7,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,¡Última disponible!,4 GB,No,14 "",12 h,Nadie ha hecho preguntas todavía. ,#446829129",,{},NOTEBOOK,4 GB,0 Hz,Intel UHD Graphics 600
"Laptop Asus Fx516pc-hn004t, I7, 16gb, 512gb Ssd, 15.6 Fhd",https://articulo.mercadolibre.com.pe/MPE-606974275-laptop-asus-fx516pc-hn004t-i7-16gb-512gb-ssd-156-fhd-_JM,6240.0,Nuevo,,"Lima, Lima Metropolitana",Asus,,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","16 GB,15.6 "",Nadie ha hecho preguntas todavía. ,#606974275",,{},FX516PC-HN004T,16 GB,1920 px x 1080 px,NVIDIA GeForce RTX 3050
Laptop Hp Pavilion X360 15.6 I5 11va 16gb 512gb Nuevo,https://articulo.mercadolibre.com.pe/MPE-611349322-laptop-hp-pavilion-x360-156-i5-11va-16gb-512gb-nuevo-_JM,3429.0,Nuevo,,"Cajatambo, Lima Provincias",HP,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","16 GB,#611349322",,{'0': 'Tiene tienda en físico?'},HP Pavilion X360,16 GB,512 GB,
Laptop Hp 1085 15.6' I3 10ma Hd 256gb Ssd 4gb Zoom Clases,https://articulo.mercadolibre.com.pe/MPE-445571376-laptop-hp-1085-156-i3-10ma-hd-256gb-ssd-4gb-zoom-clases-_JM,2399.0,Nuevo,,"Lima, Lima Metropolitana",HP,1085,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,4 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#445571376",,{},HP,4 GB,256 GB,1.74 kg
"Laptop Lenovo S145, 14  Hd, Amd A4-9125, 4gb/500- ",https://articulo.mercadolibre.com.pe/MPE-610359929-laptop-lenovo-s145-14-hd-amd-a4-9125-4gb500--_JM,989.0,Nuevo,5.0,"Lima, Lima Metropolitana",Lenovo,14W,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,14 "",Nadie ha hecho preguntas todavía. ,#610359929",,{},AMD A Series,4 GB,500 GB,1.54 kg
Laptop Dell Latitude 14'  Hd Intel Core I3 11va 8gb 1tb,https://articulo.mercadolibre.com.pe/MPE-607025029-laptop-dell-latitude-14-hd-intel-core-i3-11va-8gb-1tb-_JM,2649.0,Nuevo,,"Lima, Lima Metropolitana",Dell,3000,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,14 "",#607025029",,"{'0': 'Hola! Aún en stock? Tienen tienda física para recojo? Si solo es delivery cuanto demora el envío hasta San Juan de Lurigancho, Lima? Pf la necesito antes del martes.'}",Latitude,8 GB,1 TB,Sí
"Laptop Lenovo V14 Iil, 14 Hd I3-1005g1, Ram 4gb, Hdd 1tb",https://articulo.mercadolibre.com.pe/MPE-608318830-laptop-lenovo-v14-iil-14-hd-i3-1005g1-ram-4gb-hdd-1tb-_JM,1785.06,Nuevo,,¡Es uno de los mejores del sitio!,Lenovo,V14 IIL,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,No,14 "",5.5 h,Nadie ha hecho preguntas todavía. ,#608318830","6,% OFF",{},V14,4 GB,1 TB,1.6 kg
Laptop Hp Pavilion Gaming 15-dk1043la (3y7a8la#abm),https://articulo.mercadolibre.com.pe/MPE-606063719-laptop-hp-pavilion-gaming-15-dk1043la-3y7a8laabm-_JM,4399.0,Nuevo,,"Miraflores, Lima Metropolitana",HP,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","¡Última disponible!,15.6 "",No,9 h,Nadie ha hecho preguntas todavía. ,#606063719",,{},250 G8,16 GB,"15.6 """,FreeDOS
Laptop Acer Nitro 5 15.6' Ryzen 7 8gb 512gb Ssd V 4gb 1650 ,https://articulo.mercadolibre.com.pe/MPE-603017528-laptop-acer-nitro-5-156-ryzen-7-8gb-512gb-ssd-v-4gb-1650-_JM,4799.0,Nuevo,,"Lima, Lima Metropolitana",Acer,AN515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#603017528",,{},Nitro 5,8 GB,60 Hz,NVIDIA GeForce GTX 1650
Laptop Hp 1020 15.6' Hd Ryzen 7 4700u Ram 8gb 512gb Ssd W10,https://articulo.mercadolibre.com.pe/MPE-445610250-laptop-hp-1020-156-hd-ryzen-7-4700u-ram-8gb-512gb-ssd-w10-_JM,3899.0,Nuevo,,"Lima, Lima Metropolitana",HP,1020,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",#445610250",,{'0': 'Con 16GB de ram cuanto costaría?'},HP,8 GB,60 Hz,AMD Radeon Graphics
Laptop Lenovo Ideapad C340 Ryzen 5 5ta 8gb 256gb Nuevo,https://articulo.mercadolibre.com.pe/MPE-611388331-laptop-lenovo-ideapad-c340-ryzen-5-5ta-8gb-256gb-nuevo-_JM,1859.0,Nuevo,,"Cajatambo, Lima Provincias",Lenovo,C340,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","8 GB,#611388331",,"{'0': 'tiene entrada hdmi?', '1': 'Le di a comprar y no esta disponible por ubicación. Es para Arequipa.', '2': 'Viene con lápiz?. Y si hace envío envío Arequipa', '3': 'El teclado es en español?', '4': 'ya envie la pre venta, a ver si me puedes contactar porfavor para la compra', '5': 'tiene algun numero de contacto o pagina web de su empresa para hacerle unas preguntas adicionales?', '6': 'me brinda mas caracteristicas del equipo por favor', '7': 'como hariamos para la entrega?'}",IdeaPad,8 GB,256 GB,
Laptop Lenovo 32gb 4gb Chromebook Oferta,https://articulo.mercadolibre.com.pe/MPE-444109091-laptop-lenovo-32gb-4gb-chromebook-oferta-_JM,1299.0,Nuevo,,"Santa Anita, Lima Metropolitana",Lenovo,ChromeBook,LPDDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,No,11.6 "",10 h,#444109091",,"{'0': 'Aun tiene el equipo para envio a comas', '1': 'En cuanto me llega si lo compro ahora con envio a la ciudad de Huanuco', '2': 'Ok', '3': 'Pero me puedes enviar un número de contacto para acordar sobre la compra', '4': 'Buenas si realizo la compra cuando lo estaré enviando para la Región la libertad', '5': 'Buenas, si lo compro hoy, cuando lo estarían despachando?', '6': 'Hacen envíos a provincias? Cuanto tiempo demora para Huancayo?', '7': 'Hola cuantas Con Stock Para envió a La Ciudad de chincha. También me podrías indicar cuanto dura la Batería y si puedo adquirir una de mas capacidad,', '8': 'Envio puno pero Por Transporte Interprovincial pude amigo por favor', '9': 'Buenos Dias el equipo cuenta con HDMI y hasta cuanto puedo aunentar el disco'}",Chromebook-997925206,4 GB,32 GB,1.12 kg
Laptop Gaming 3 Lenovo 15.6' R5 16gb 128gb Ssd 1tb Video 4gb,https://articulo.mercadolibre.com.pe/MPE-602533836-laptop-gaming-3-lenovo-156-r5-16gb-128gb-ssd-1tb-video-4gb-_JM,4699.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,Gaming 3,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,No,15.6 "",#602533836",,"{'0': 'Cual es ma direccion de tu tienda en fisico?', '1': 'Donde esta tu tienda fisica?', '2': 'Hola, estoy interesado. Tienes tienda fisica?', '3': 'si compro hoy cuando me llegaria?', '4': 'si compro hoy cuando me llegaria para lima', '5': 'El teclado es en español verdad?'}",IdeaPad,16 GB,60 Hz,GEFORCE GTX 1650
"Laptop Dell Latitude 14 3420 Intel Core I3-1115g4, 4gb Ddr4,",https://articulo.mercadolibre.com.pe/MPE-446653051-laptop-dell-latitude-14-3420-intel-core-i3-1115g4-4gb-ddr4-_JM,2470.0,Nuevo,,"Bellavista, Lima Metropolitana",Dell,LATITUDE 14 3420,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,No,14 "",#446653051","5,% OFF",{'0': 'Y en core i5 a cuanto esta'},Latitude,4 GB,1 TB,1
"Laptop Dell Inspiron G5 5505, Ryzen 5, 8gb, 512gb Ssd, 15.6",https://articulo.mercadolibre.com.pe/MPE-600597396-laptop-dell-inspiron-g5-5505-ryzen-5-8gb-512gb-ssd-156-_JM,4350.0,Nuevo,,"Lima, Lima Metropolitana",Dell,,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","8 GB,15.6 "",#600597396",,"{'0': 'Buenos días. ¿Tiene tienda física?', '1': 'Buen dia, lo tienen en stock? Quisiera mas informacion por favor'}",5505,8 GB,AMD Radeon RX 5600M,1920 px x 1080 px
Laptop LG Gram 14  Ci5 8gb Ram 256 Ssd 14z90p-g.aj63b4 Black,https://articulo.mercadolibre.com.pe/MPE-608000777-laptop-lg-gram-14-ci5-8gb-ram-256-ssd-14z90p-gaj63b4-black-_JM,4659.0,Nuevo,,¡Es uno de los mejores del sitio!,LG,14Z90P-G.AJ63B4,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","¡Última disponible!,8 GB,No,14 "",Nadie ha hecho preguntas todavía. ,#608000777","2,% OFF",{},UltraBook,8 GB,256 GB,Windows
Laptop Lenovo Ideapad 3 14are05 14'' Ryzen 5 4500u 8gb 1tb,https://articulo.mercadolibre.com.pe/MPE-607382795-laptop-lenovo-ideapad-3-14are05-14-ryzen-5-4500u-8gb-1tb-_JM,2719.0,Nuevo,4.5,¡Es uno de los mejores del sitio!,Lenovo,3,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","8 GB,No,14 "",7 h,#607382795","9,% OFF",{'0': 'hola esta disponible? se puede cambiar el almacenamiento por un disco solido y aumentar la Ram?'},IdeaPad,8 GB,1 TB,1.5 kg
Laptop Gamer Dell G15 15.6' Ryzen 7 16gb 512gb Ssd V6gb 3060,https://articulo.mercadolibre.com.pe/MPE-607805753-laptop-gamer-dell-g15-156-ryzen-7-16gb-512gb-ssd-v6gb-3060-_JM,8099.0,Nuevo,,"Lima, Lima Metropolitana",Dell,5515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#607805753",,{},GAMING,16 GB,NVIDIA GeForce RTX 3060,1920 px x 1080 px
Laptop Dell Inspiron 5310 - Core I7 - 8 Gb- 512 G Ssd-win 10,https://articulo.mercadolibre.com.pe/MPE-601858046-laptop-dell-inspiron-5310-core-i7-8-gb-512-g-ssd-win-10-_JM,5639.0,Nuevo,,"Ate, Lima Metropolitana",Dell,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,60 m,Sí,#601858046",,"{'0': 'hola, es Nvidia GTX que número?'}",0xg4j,Intel,Windows,60 m
Laptop Lenovo Ideapad Pantalla Tactil Windows 10,https://articulo.mercadolibre.com.pe/MPE-605499815-laptop-lenovo-ideapad-pantalla-tactil-windows-10-_JM,1599.0,Nuevo,,"Santa Anita, Lima Metropolitana",Lenovo,82H0S00C00,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,Sí,10.1 "",8 h,Nadie ha hecho preguntas todavía. ,#605499815",,{},IdeaPad,4 GB,64 GB,Windows
Laptop Gamer Msi Bravo 17 Ryzen 7 5ta 16gb 512gb Rx 6500m,https://articulo.mercadolibre.com.pe/MPE-611388321-laptop-gamer-msi-bravo-17-ryzen-7-5ta-16gb-512gb-rx-6500m-_JM,4169.0,Nuevo,,"Cajatambo, Lima Provincias",MSI,17,64 GB,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","16 GB,17.3 "",Nadie ha hecho preguntas todavía. ,#611388321",,{},Bravo,16 GB,512 GB,Windows
"Laptop 15-ef1012la Amd Ryzen 5 4500u 8gb 256gb Ssd 15,6´'",https://articulo.mercadolibre.com.pe/MPE-609899789-laptop-15-ef1012la-amd-ryzen-5-4500u-8gb-256gb-ssd-156-_JM,2239.0,Nuevo,,¡Es uno de los mejores del sitio!,HP,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","¡Última disponible!,8 GB,No,15.6 "",#609899789","20,% OFF","{'0': 'En el anuncio dice Ryzen 5 4500u, pero en la descripción dice Ryzen 7 4700 U ¿cuál es el correcto?', '1': 'La RAM es ampliable?'}",15-EF1012LA,8 GB,256 GB,Windows
Laptop Dell Latitude 3420 - Core I3 3ghz- 1tb + 4gb Ddr,https://articulo.mercadolibre.com.pe/MPE-601780613-laptop-dell-latitude-3420-core-i3-3ghz-1tb-4gb-ddr-_JM,2819.0,Nuevo,,"Ate, Lima Metropolitana",Dell,,,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,4 GB,Sí,#601780613",,"{'0': 'Gracias, veo que el systema es linux - cual es excactamente ? linux mint ? Gracias', '1': 'Hola buenos días, viene con ambas sistemas incluidos? Dulabot? Gracias'}",L342i3TGs41TUB1WXCTO,4 GB,LED,Sí
 Laptop Lenovo Ip3 15.6' I3 10ma Ram 4gb Disco 256gb Ssd,https://articulo.mercadolibre.com.pe/MPE-606381772-laptop-lenovo-ip3-156-i3-10ma-ram-4gb-disco-256gb-ssd-_JM,2250.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,15IML05,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,4 GB,15.6 "",9 h,HD,No,No,Nadie ha hecho preguntas todavía. ,#606381772",,{},IdeaPad3,4 GB,1366 x 768,Intel UHD Graphics
Laptop Hp Gaming 1025 15.6' I5 10th 8gb 256ssd V3gb Freedos,https://articulo.mercadolibre.com.pe/MPE-447471818-laptop-hp-gaming-1025-156-i5-10th-8gb-256ssd-v3gb-freedos-_JM,4669.0,Nuevo,,"Lima, Lima Metropolitana",HP,1025LA,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,15.6 "",Nadie ha hecho preguntas todavía. ,#447471818",,{},HP,8 GB,1920 px x 1080 px,NVIDIA GeForce GTX 1050
"Notebook Lenovo V15 Ada, 15.6 Athlon Silver 3050u 4gb-1tb Dd",https://articulo.mercadolibre.com.pe/MPE-441933883-notebook-lenovo-v15-ada-156-athlon-silver-3050u-4gb-1tb-dd-_JM,1550.0,Nuevo,,"Trujillo, La Libertad",Lenovo,V15 ADA,DDR4,"Entrega a acordar con el vendedor,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","4 GB,No,5.6 "",Nadie ha hecho preguntas todavía. ,#441933883",,{},V-Series,4 GB,2.3 Hz,AMD
 Laptop Hp 1045 I7 10ma 15.6' 8gb 512gb V. 6gb 1660ti W10,https://articulo.mercadolibre.com.pe/MPE-600728231-laptop-hp-1045-i7-10ma-156-8gb-512gb-v-6gb-1660ti-w10-_JM,6900.0,Nuevo,,"Lima, Lima Metropolitana",HP,1045,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#600728231",,{},Hp,8 GB,1920 px x 1080 px,NVIDIA GTX 1660Ti MAX-Q
Laptop Asus M515 15.6' Fhd Amd Ryzen 5 8gb 512gb Ssd Huella,https://articulo.mercadolibre.com.pe/MPE-609007623-laptop-asus-m515-156-fhd-amd-ryzen-5-8gb-512gb-ssd-huella-_JM,2899.0,Nuevo,,"Lima, Lima Metropolitana",Asus,M515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#609007623",,{},VivoBook,8 GB,512 GB,Windows
Laptop Lenovo Ideapad Ip3 14' Hd I5 10ma 8gb 1tb + 120ssd,https://articulo.mercadolibre.com.pe/MPE-445721937-laptop-lenovo-ideapad-ip3-14-hd-i5-10ma-8gb-1tb-120ssd-_JM,3199.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,IP3,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,8 GB,No,14 "",Nadie ha hecho preguntas todavía. ,#445721937",,{},IdeaPad,8 GB,1 TB,Windows
Laptop Msi Prestige Evo 14 I7 16gb 512gb Nuevo,https://articulo.mercadolibre.com.pe/MPE-611388330-laptop-msi-prestige-evo-14-i7-16gb-512gb-nuevo-_JM,3959.0,Nuevo,,"Cajatambo, Lima Provincias",MSI,,,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,24 meses de garantía de fábrica.","16 GB,Nadie ha hecho preguntas todavía. ,#611388330",,{},Prestige,16 GB,512 GB,
Laptop Asus N4020 4gb 64gb Hdmi Wifi,https://articulo.mercadolibre.com.pe/MPE-445058808-laptop-asus-n4020-4gb-64gb-hdmi-wifi-_JM,1599.0,Nuevo,,"Santa Anita, Lima Metropolitana",Asus,ASUS N4020,DDR5,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","4 GB,11.6 "",Nadie ha hecho preguntas todavía. ,#445058808",,{},997925206,4 GB,Intel UHD Graphics 600,1366 px x 768 px
"Notebook Dell Latitude 14 3410, 14  Hd, Intel Core I5-10210u",https://articulo.mercadolibre.com.pe/MPE-603580981-notebook-dell-latitude-14-3410-14-hd-intel-core-i5-10210u-_JM,3490.0,Nuevo,,"Arequipa, Arequipa",Dell,L341i3CLs41TUB1WXCTO,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,6 meses de garantía de fábrica.","8 GB,No,14 "",Nadie ha hecho preguntas todavía. ,#603580981",,{},Latitude 3410,8 GB,1366 px x 768 px,INTEL INTEGRATED GRAPHICS
Disco Duro Externo 1 Tb Toshiba Usb 3.0 Esc,https://articulo.mercadolibre.com.pe/MPE-439921964-disco-duro-externo-1-tb-toshiba-usb-30-esc-_JM,246.05,Nuevo,4.7,"Lima, Lima Metropolitana",Toshiba,BASIC,HDD,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","mañana,1 TB,2.5 "",PS4 LAPTOP PCS WINDOWS MAC,HDD,3.0,5400 rpm,#439921964","5,% OFF","{'0': 'Tiene tienda física ? , Referencia quisiera ir a compra', '1': 'tiene tienda física?', '2': 'Hola buenos dias una pregunta este disco duro externo es co patible con el xiaomi tv box s?', '3': 'Tienen stock? Para Lima lo pago con tarjeta directamente en mercado libre?', '4': 'Me confirma si viene con estuche incluido por ese precio?', '5': 'el monto de 253.82 soles ya incluye el costo del delivery, ese monto pagaría por mercado libre o pago los 240 soles y la diferencia se paga al courier?', '6': 'Buenas tardes tiene en stock y cuanto sería el delivery a salamanca si lo requiero antes de la fecha indicada por mercado libre?', '7': 'Buenas noches. Envío a la ciudad de Huaraz?.', '8': 'Sigue disponible el producto para Lambayeque? Viene con estuche gratuito?', '9': 'Buenas tardes. Estoy interesado en comprar dicho producto. Pero antes quisiera que me resuelvan las sgtes. dudas: el producto cuenta con garantía? El estuche viene de obsequio? Es factible recibirlo hoy en mi domicilio, si es así, cuánto es el costo de envío? Me encuentro en Surquillo. Gracias.'}",Canvio,1 TB,3.0,Controlador NTFS para Mac
Laptop Gamer Asus Fx516 15.6' 144hz I7 16gb 512gb Ssd V4gb ,https://articulo.mercadolibre.com.pe/MPE-610730206-laptop-gamer-asus-fx516-156-144hz-i7-16gb-512gb-ssd-v4gb-_JM,6099.0,Nuevo,,"Lima, Lima Metropolitana",Asus,FX516,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,15 "",Nadie ha hecho preguntas todavía. ,#610730206",,{},TUF,16 GB,144 Hz,NVIDIA GeForce RTX 3050
 Laptop Lenovo Ip3 14' I3 10ma 4gb 256gb Ssd W10,https://articulo.mercadolibre.com.pe/MPE-600518532-laptop-lenovo-ip3-14-i3-10ma-4gb-256gb-ssd-w10-_JM,2399.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,IP3,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,4 GB,No,14 "",7 h,Nadie ha hecho preguntas todavía. ,#600518532",,{},Lenovo,4 GB,256 GB,Windows
Laptop Hp Intel Core I3-10110u 12gb Ram 128gb 14-ck2091la,https://articulo.mercadolibre.com.pe/MPE-606557404-laptop-hp-intel-core-i3-10110u-12gb-ram-128gb-14-ck2091la-_JM,2499.0,Nuevo,,"Santa Anita, Lima Metropolitana",HP,14-ck2091la,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","¡Última disponible!,12 GB,14 "",HD,11 h,#606557404",,"{'0': 'Cuanto es el adicional hasta villa el Salvador, por el ovalo chama o donde queda el local de recojo', '1': 'Puedo recogerlo personalmente en tienda??', '2': 'Buenas noches el envió también es gratis para Jesus Maria?', '3': 'Se puede comprar en tienda no? Me brindaría la dirección de la tienda para poder acercarme?'}",997925206,12 GB,1366 px x 768 px,Intel UHD Graphics 620
Laptop Hp 250 G8 I3 1005g1 4gb 1tb 15.6  Windows 10 H ,https://articulo.mercadolibre.com.pe/MPE-445518575-laptop-hp-250-g8-i3-1005g1-4gb-1tb-156-windows-10-h-_JM,2469.0,Nuevo,,,HP,250 G8,DDR4,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","4 GB,No,No,15 "",9 h,Nadie ha hecho preguntas todavía. ,#445518575",,{},Notebook,4 GB,60 Hz,Intel UHD Graphics
Laptop Macbook Pro 13 Z11f-myda-07 16gb Ram 1tb M1 Late 2020,https://articulo.mercadolibre.com.pe/MPE-442007954-laptop-macbook-pro-13-z11f-myda-07-16gb-ram-1tb-m1-late-2020-_JM,10419.0,Nuevo,,"Lima, Lima Metropolitana",Apple,Z11F-MYDA-07 Late 2020,LPDDR4X,"Envío gratis a todo el país,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.","Disponible 30 días después de tu compra,16 GB,No,13.3 "",#442007954",,"{'0': 'hola estoy dispuesto a pagar, y esperar, cuanto tiempo se demora en tenerlo en teclado en español, para hacer el pago ahora mismo.', '1': 'No tienen de esas características pero con teclado en español?', '2': 'Teclado español ?', '3': 'El envio porque medio u empresa lo hacen? Es gratuito¿? Me encuentro en la ciudad de Arequipa.', '4': 'Buenas tardes, deseo comprar la Mac?m Cuentan con Stock? Cuál es el proceso para confirmar el pedido? Saludos.', '5': 'Dan factura?', '6': 'Está disponible para entrega inmediata en Lima?', '7': 'A cuánto una de 2TB?', '8': 'Estimado, en cuantos días habiles tendría el producto en caso lo comprara el día de hoy?', '9': 'Hola mi pana lo tienes en stock en caso lo compre hoy mismo y lo dejas a algo menos?'}",MacBook Pro,16 GB,1 TB,1 kg
Laptop Lenovo Ip3 15.6'i5 10ma 16gb 1tb Video 4gb 1650 W10,https://articulo.mercadolibre.com.pe/MPE-442386012-laptop-lenovo-ip3-156i5-10ma-16gb-1tb-video-4gb-1650-w10-_JM,4499.0,Nuevo,,"Lima, Lima Metropolitana",Lenovo,Ideapad Gaming 3i,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,16 GB,No,15.6 "",#442386012",,"{'0': 'Porfavor podría cambiar a 3700 el precio para poder comprar y hacer el pago mediante pago efectivo.gracias', '1': 'Es cierto del regalo de las 8gb al momento de la compra?'}",lenovo,16 GB,60 Hz,NVIDIA GTX 1650
Laptop Asus X515 15.6' Fhd I5 11va 8gb 500gb Ssd Lec Huella,https://articulo.mercadolibre.com.pe/MPE-601274527-laptop-asus-x515-156-fhd-i5-11va-8gb-500gb-ssd-lec-huella-_JM,3419.0,Nuevo,,"Lima, Lima Metropolitana",Asus,X515,DDR4,"Llega gratis ,Devolución gratis,, recibe el producto que esperabas o te devolvemos tu dinero.,12 meses de garantía de fábrica.","entre el miércoles y el jueves,¡Última disponible!,8 GB,No,15.6 "",Nadie ha hecho preguntas todavía. ,#601274527",,{},VivoBook,8 GB,500 GB,Windows
